,Korean,English
0,것,thing
1,하다,do
2,있다,there is
3,나,me
4,없다,does not exist
5,사람,person
6,우리,we
7,아니다,no
8,같다,Same
9,대하다,subtend
10,년,year
11,때문,Because
12,말하다,say
13,위하다,for
14,그러나,however
15,알다,know
16,그렇다,Yes
17,사회,society
18,좋다,good night
19,더,more
20,그것,that
21,나오다,come out
22,그리고,and
23,문제,problem
24,그런,that
25,살다,live
26,생각하다,think
27,모르다,don't know
28,속,inside
29,만들다,make
30,데,place
31,두,two
32,앞,front
33,경우,case
34,중,middle
35,어떤,which
36,잘,well
37,그녀,she
38,오다,come
39,문화,culture
40,생각,thought
41,어떻다,How about
42,명,number of people
43,통하다,pass
44,그러다,Then
45,소리,sound
46,다시,again
47,다른,different
48,이런,this
49,여자,female
50,정도,degree
51,뒤,back
52,듣다,listen
53,좀,a little
54,싶다,look like
55,함께,together
56,지나다,pass by
57,너,you
58,주다,give
59,인간,human being
60,이렇다,It's like this
61,어머니,mother
62,의하다,be due to
63,시대,times
64,다음,next
65,누구,who
66,곳,place
67,여러,several
68,세계,world
69,퍼센트,percent
70,학교,school
71,대통령,president
72,시작하다,start
73,바로,as soon as
74,어느,any
75,무엇,what
76,정부,government
77,모든,every
78,번,th
79,그거,that
80,돈,money
81,국가,nation
82,그런데,however
83,날,me
84,여성,female
85,친구,friend
86,후,after
87,가다,go
88,관계,relationship
89,아버지,father
